epoch,train_loss,val_loss,val_dice_bg,val_dice_myo,val_dice_edema,val_dice_scar,val_dice_lesion_mean
1,1.6170961779932822,1.5641940116882325,0.7521466230052037,0.21950063003064307,0.006419606497548515,0.020471695118361333,0.013445650807954923
2,1.5141234244069746,1.4825949192047119,0.8083171398963632,0.28456115907573476,0.0107669778641314,0.0116855324481333,0.011226255156132351
3,1.4328454079166535,1.439262294769287,0.8522640575095538,0.311719088594112,0.011006678459422497,0.015788243055581137,0.013397460757501818
4,1.3807384352530203,1.3767829179763793,0.9078937391866709,0.3719167815216685,0.03935479985467215,0.031356936473273145,0.03535586816397265
5,1.3340154386335803,1.333952212333679,0.9393371093535473,0.4312239221053963,0.0716370073307594,0.06827834814863015,0.06995767773969477
6,1.2887877033602806,1.2885004997253418,0.9662260991395103,0.5256867424914202,0.14940915102411928,0.13197478613427407,0.1406919685791967
7,1.245156999557249,1.2616781711578369,0.9739605199621744,0.5588742301443402,0.18878085496131983,0.21191889734054664,0.20034987615093325
8,1.2101438237774758,1.2893738269805908,0.9831035621078955,0.634199842418203,0.15674531727161803,0.2026888678159172,0.1797170925437676
9,1.1934536887753395,1.201837158203125,0.9919098812766889,0.7407592140433377,0.17101869834494435,0.4112479932147785,0.29113334577986144
10,1.1658273204680412,1.1789973974227905,0.989077869495848,0.6664717677225356,0.14760287255525176,0.3981232219340141,0.27286304724463295
11,1.1409484109570902,1.1639025688171387,0.9897957110947855,0.6795213744278754,0.23775926943586084,0.4180059541197729,0.32788261177781686
12,1.1195936395275978,1.1353135108947754,0.9920927853849596,0.6899000030679224,0.27921858323203064,0.40345626773417365,0.34133742548310214
13,1.0938542658282864,1.1353868961334228,0.9890742757888751,0.6759979132637141,0.27192856843920427,0.40209543279708554,0.3370120006181449
14,1.0704572623775852,1.1095454454421998,0.9937342674088582,0.7478146394555573,0.333135578121574,0.379290644099514,0.356213111110544
15,1.0468223248758624,1.107572317123413,0.9957893357476342,0.820873876335764,0.20872490138368177,0.43299210418187356,0.32085850278277767
16,1.0201904658348329,1.118358564376831,0.991376129928508,0.7041552302868452,0.2640468962814598,0.36890915507049105,0.3164780256759754
17,0.9947639011567638,1.0737761974334716,0.9949138968902032,0.7669467359465723,0.29256230371518305,0.426972989748687,0.35976764673193506
18,0.9873581644027464,1.106916069984436,0.9941137385593499,0.7872890709362018,0.2639277674611896,0.442092067455053,0.35300991745812127
19,0.9564320098969245,1.0718957901000976,0.9960795908949182,0.8309048906724972,0.25724159736192215,0.4675102018117743,0.36237589958684824
20,0.9162041352641198,1.0212789177894592,0.9962176583926017,0.7780187631326188,0.29845526671333655,0.4410385508773017,0.36974690879531913
21,0.9008269271542949,1.0439241409301758,0.9960586541539967,0.8077816173175603,0.2403777547904241,0.42096711194943826,0.3306724333699312
22,0.840977136165865,0.9530908942222596,0.9961602960255709,0.8152618809027066,0.3429399519770588,0.48333620798799437,0.4131380799825266
23,0.826942959139424,0.9369453668594361,0.9957424892975084,0.8064238425530146,0.26996154010613715,0.48297100469899246,0.3764662724025648
24,0.806193474800356,0.9192853927612304,0.9961069243851703,0.8096752261839979,0.2992044287129049,0.4879505651228221,0.3935774969178635
25,0.751788410448259,0.9624782800674438,0.9942379004707413,0.7076299412504807,0.3108313950912683,0.30687191089264304,0.30885165299195566
26,0.7171719208840401,0.9024484395980835,0.9953885869810822,0.792428166938746,0.32770543272511143,0.44896025962111147,0.3883328461731115
27,0.7006247697337982,0.8835520505905151,0.9963883992534311,0.8125106091156653,0.3331878686300911,0.4290352616508556,0.38111156514047334
28,0.6278785121056342,0.8923125505447388,0.9970767195789936,0.8247522541291836,0.27673051053645986,0.4050099287988676,0.34087021966766373
29,0.6025338634367912,0.8531364917755127,0.9962784021224156,0.8183644343375214,0.31196088368686875,0.41657103423290387,0.36426595895988634
30,0.5793403060205521,0.7730894088745117,0.9971312757451729,0.8251783386347403,0.3939956818725768,0.47639204460695844,0.4351938632397676
31,0.5487267067355495,1.0001659631729125,0.9969709763753034,0.8502261562440946,0.2694373144937917,0.39773444192450735,0.33358587820914953
