epoch,train_loss,val_loss,val_dice_bg,val_dice_myo,val_dice_edema,val_dice_scar,val_dice_lesion_mean
1,1.799645931490006,1.6948956966400146,0.17414441429644353,0.15595893976945724,0.0026030069510317782,0.004160528634711281,0.0033817677928715296
2,1.687439956972676,1.6648630142211913,0.36941460666465703,0.20030322497688108,0.0019158578826070824,0.006585193052173257,0.00425052546739017
3,1.6139947252888833,1.6098453521728515,0.4812355478507322,0.23054700684232138,0.002552032045221183,0.011758468297541154,0.007155250171381168
4,1.5579827985455912,1.5767137289047242,0.7271084529415915,0.26683662455529056,0.003991996407158973,0.016836571959578793,0.010414284183368882
5,1.5170823451011413,1.5441614389419556,0.8361272748605382,0.30610218143832374,0.017093999006681085,0.030744397590447715,0.023919198298564398
6,1.4628384344039425,1.4850786924362183,0.8938872367947359,0.3413760409037559,0.034855236334606625,0.06918896884677062,0.052022102590688624
7,1.4551820255094958,1.5318297147750854,0.9025198453295366,0.3899182035373525,0.029872119290785794,0.05216293866193274,0.04101752897635927
8,1.405335860867654,1.425580334663391,0.9392304240521898,0.4486329185234159,0.0712368350533957,0.08768204684599692,0.07945944094969631
9,1.3717461939780944,1.400066351890564,0.9639725549136869,0.5410919483062497,0.0796930975654134,0.14977698754559274,0.11473504255550307
10,1.3236744788385206,1.3584544658660889,0.9800954981822043,0.6204649284321746,0.19651058156358728,0.19016915963482356,0.19333987059920543
11,1.3065924644470215,1.3354517936706543,0.973125929288317,0.5845821567583636,0.16150352152380337,0.22330812475616124,0.1924058231399823
12,1.2962952275430002,1.3317247867584228,0.9879572810460557,0.692567884821243,0.18164005468242655,0.27249977962787264,0.2270699171551496
13,1.245619696955527,1.3122283697128296,0.9753442880323723,0.5868192695861228,0.19957331662719047,0.25400131338052223,0.22678731500385635
14,1.2168250468469435,1.2759951114654542,0.9874133128010396,0.6818875067103348,0.2638013543703294,0.27209573943983634,0.26794854690508285
15,1.2032137724661058,1.2747155666351317,0.9759618896882805,0.5951549207252702,0.23546900011720817,0.20324501453380636,0.21935700732550728
16,1.1761589511748283,1.2380203485488892,0.9887247180591979,0.6737741565323851,0.24804702649106,0.33053321410730263,0.28929012029918133
17,1.1692992025806057,1.2200567960739135,0.9910356093859525,0.733089644585721,0.2889864727720505,0.38990155878969757,0.339444015780874
18,1.1259830344107844,1.202256727218628,0.9911406450477619,0.7341272851441369,0.268140046335292,0.3722261834875557,0.3201831149114238
19,1.1133496453685146,1.1726811170578002,0.9945082359135748,0.7630954659994629,0.2816618839854005,0.499063606542289,0.39036274526384473
20,1.080741293968693,1.1467121839523315,0.9930405594207053,0.7363519612750657,0.2721945312113486,0.41533756200866084,0.34376604661000476
21,1.059255934530689,1.1866840600967408,0.986907099830988,0.6786172318290533,0.20374495990438973,0.36748159170461325,0.28561327580450147
22,1.0508883999240013,1.1465224504470826,0.994382348085306,0.7971966944668331,0.2633568201781619,0.40753198311738004,0.335444401647771
23,1.029213478488307,1.1361612915992736,0.9945026824847181,0.7887529296188409,0.26314851734045624,0.4148692621414375,0.3390088897409469
24,1.0060072175918087,1.106219434738159,0.9941787463088143,0.7709634409496483,0.284477637528643,0.424319359086535,0.354398498307589
25,0.9900168142011089,1.1025376796722413,0.9922209488663827,0.7414269434365531,0.27900620753998806,0.42390847279598143,0.35145734016798474
