epoch,train_loss,val_loss,val_dice
1,0.48603165514892444,0.19417169129427103,0.8471744241980897
2,0.1560901211482842,0.140833004782382,0.868213501188611
3,0.11991861877906149,0.11803960732206652,0.8855226304267396
4,0.10265485258243742,0.09924134452367454,0.9027390675098893
5,0.100875220651401,0.10183047181252335,0.9005617456534025
6,0.09346621477831528,0.09659477840671518,0.9043251785068447
7,0.09005132846663771,0.10965156983350538,0.8910750897607619
8,0.08745461690456448,0.08204342742602393,0.9186231481716326
9,0.0828932115888283,0.07777894358814375,0.9226528836356873
10,0.0851282345056194,0.10277876750637216,0.8976793581430833
11,0.07960564251399917,0.07732123571491567,0.9230003393634287
12,0.07841603047285843,0.07668684227572607,0.9236768012443726
13,0.0732399287064825,0.07739294017054472,0.9228767159319522
14,0.08428148264965124,0.07690723564904799,0.9233549011609982
15,0.07692367439767377,0.07770120112083113,0.9225704672670962
16,0.07129111813833042,0.07303522352209929,0.9271653883813317
17,0.07007670567293187,0.07458831905095308,0.9257181328949662
18,0.07474452816003,0.08026307359116923,0.9199808992301045
19,0.07313911736130409,0.07601138014885828,0.9242884534386707
20,0.06768981980339826,0.069032790927278,0.9312008095304126
21,0.06996742311316224,0.0723020352822481,0.9278690063966992
22,0.06975782450939319,0.06870593196853672,0.9314855398990409
23,0.07366417936532713,0.06842274561167579,0.9317293903846697
24,0.0647840508880626,0.06822959856133369,0.931902567092478
25,0.06603515260271892,0.07069117782325267,0.9294866451243854
26,0.06350279087081326,0.06943841385596698,0.933074173049209
27,0.06461606137125402,0.06867201617805281,0.9315255132069473
28,0.06301721989106303,0.06553722073577829,0.9346012193093686
29,0.062241148476452526,0.06442218645132798,0.9357255026443246
30,0.06327047578015875,0.06614219367572084,0.9340565275303179
